DS_CAST_NO,DS_DS_NO,HM Wt,HM Temp,HM S,Aim S,Act Mg,Act Lime,ADS
T93731,2,163.7,1389.0,0.064,0.012,79,281,0.019
T94304,2,161.3,1345.0,0.066,0.012,69,253,0.017
T97278,2,173.0,1324.0,0.045,0.012,75,302,0.018
T96530,2,167.0,1391.0,0.058,0.012,66,300,0.02
T94242,1,152.4,1386.0,0.05,0.012,68,291,0.016
T91206,1,173.5,,0.037,0.012,88,334,0.021
T96463,1,163.5,1348.0,0.032,0.012,63,385,0.016
T93811,2,160.3,1385.0,0.058,0.012,73,247,0.017
T92021,1,171.9,1338.0,0.041,0.012,73,353,0.02
T94696,2,170.9,1362.0,0.066,0.012,56,398,0.018
T97287,2,158.3,1408.0,0.069,0.012,73,356,0.023
T98392,2,163.9,,0.031,0.012,50,330,0.014
T98280,2,158.6,1368.0,0.048,0.012,94,337,0.024
T98916,1,158.8,1366.0,0.047,0.012,87,355,0.024
T92267,1,144.1,,0.063,0.012,46,200,0.011
T96864,1,157.9,1411.0,0.055,0.012,83,217,0.017
T97396,1,163.8,1395.0,0.05,0.012,71,327,0.019
T99226,1,145.2,,0.054,0.012,52,322,0.013
T94748,2,155.4,1368.0,0.039,0.012,48,387,0.014
T94242,1,169.2,1361.0,0.068,0.012,69,316,0.019
T96450,2,155.1,1351.0,0.023,0.012,89,285,0.017
T94627,2,163.9,1406.0,0.021,0.012,98,246,0.019
T98098,2,153.4,1325.0,0.041,0.012,73,298,0.022
T96575,1,167.9,1384.0,0.028,0.012,58,282,0.014
T94242,2,162.7,1331.0,0.047,0.012,92,334,0.022
T92267,2,158.6,1365.0,0.02,0.012,58,352,0.013
T95931,1,146.5,1369.0,0.043,0.012,65,262,0.016
T98125,2,158.7,1338.0,0.035,0.012,78,360,0.019
T92484,2,169.7,1349.0,0.03,0.012,85,200,0.018
T98408,2,175.9,1388.0,0.042,0.012,56,383,0.014
T99666,1,163.5,1407.0,0.063,0.012,69,275,0.016
T92291,2,164.3,1378.0,0.053,0.012,77,373,0.021
T96393,2,160.3,1353.0,0.028,0.012,41,283,0.011
T95488,1,173.6,1346.0,0.045,0.012,47,330,0.013
T94943,1,163.3,1351.0,0.067,0.012,50,292,0.012
T93327,2,171.3,1369.0,0.042,0.012,73,353,0.016
T95426,1,166.7,1376.0,0.044,0.012,77,270,0.018
T91189,1,165.9,1401.0,0.067,0.012,84,244,0.017
T91189,1,157.9,1368.0,0.027,0.012,73,349,0.018
T97396,1,177.5,1353.0,0.057,0.012,98,292,0.022
T95658,1,175.3,1342.0,0.035,0.012,77,404,0.02
T93454,1,180.9,,0.063,0.012,86,343,0.023
T93734,1,157.3,1329.0,0.023,0.012,81,377,0.023
T96134,2,166.8,1355.0,0.07,0.012,73,381,0.021
T93511,1,159.4,1339.0,0.058,0.012,89,297,0.021
T92986,1,168.1,1364.0,0.034,0.012,78,319,0.016
T91995,1,167.0,1381.0,0.058,0.012,62,336,0.017
T99226,2,162.1,1380.0,0.066,0.012,72,280,0.017
T95413,1,163.4,1387.0,0.026,0.012,66,289,0.015
T96191,1,179.6,1347.0,0.066,0.012,60,322,0.017
T94556,2,164.1,1405.0,0.038,0.012,61,379,0.017
T93511,1,149.6,1387.0,0.02,0.012,77,323,0.015
T94152,2,161.2,1386.0,0.026,0.012,53,336,0.013
T97420,2,157.3,1398.0,0.064,0.012,73,352,0.02
T96172,1,158.6,1374.0,0.069,0.012,63,378,0.019
T92291,2,170.0,1367.0,0.065,0.012,57,355,0.017
T98099,1,171.2,1404.0,0.042,0.012,68,306,0.017
T91863,1,159.1,,0.068,0.012,71,304,0.019
T97265,2,161.1,1365.0,0.04,0.012,94,200,0.02
T93731,2,160.1,1399.0,0.026,0.012,57,277,0.012
T98574,1,175.6,1365.0,0.037,0.012,73,347,0.019
T99838,1,171.4,1355.0,0.07,0.012,75,270,0.017
T98849,2,169.7,1346.0,0.051,0.012,68,276,0.017
T97278,1,157.8,1376.0,0.037,0.012,87,366,0.023
T98099,1,153.0,1359.0,0.051,0.012,73,264,0.016
T95389,1,173.6,1382.0,0.041,0.012,80,277,0.018
T94104,2,178.4,1411.0,0.022,0.012,62,277,0.014
T93731,1,152.7,1397.0,0.03,0.012,55,250,0.011
T92930,1,180.7,1312.0,0.021,0.012,67,282,0.01
T98858,1,164.3,1388.0,0.033,0.012,67,200,0.014
T95282,2,166.2,1390.0,0.057,0.012,65,439,0.021
T98554,2,155.8,1363.0,0.03,0.012,73,304,0.017
T98280,2,152.6,1401.0,0.046,0.012,64,322,0.017
T97863,1,149.2,1377.0,0.055,0.012,64,212,0.015
T94242,2,172.2,1321.0,0.047,0.012,87,273,0.018
T92184,1,164.4,1374.0,0.021,0.012,58,320,0.018
T93047,2,168.2,1363.0,0.038,0.012,86,249,0.018
T92021,1,172.9,1354.0,0.042,0.012,80,361,0.023
T96675,2,164.3,1379.0,0.037,0.012,83,326,0.02
T97863,1,176.8,1386.0,0.047,0.012,83,299,0.019
T92028,1,159.2,1387.0,0.046,0.012,68,316,0.016
T96791,2,162.1,1387.0,0.029,0.012,61,289,0.014
T98849,1,158.7,1341.0,0.058,0.012,66,219,0.015
T98035,2,170.8,1343.0,0.028,0.012,69,328,0.011
T98734,2,172.8,1377.0,0.043,0.012,55,249,0.01
T96535,1,161.8,,0.058,0.012,74,318,0.019
T96618,1,155.2,1379.0,0.055,0.012,65,372,0.019
T98994,2,173.6,1317.0,0.042,0.012,72,311,0.014
T93811,2,158.8,1384.0,0.059,0.012,67,324,0.018
T92678,2,162.2,1331.0,0.056,0.012,81,264,0.021
T96232,1,157.5,1387.0,0.039,0.012,76,244,0.017
T92059,2,167.0,1356.0,0.065,0.012,62,368,0.019
T97420,1,159.6,1378.0,0.027,0.012,71,362,0.02
T92028,1,169.9,1423.0,0.038,0.012,43,381,0.015
T98280,2,161.1,1361.0,0.055,0.012,64,427,0.02
T92663,2,168.8,1351.0,0.064,0.012,73,292,0.021
T98041,1,158.5,1359.0,0.036,0.012,58,336,0.013
T95931,1,173.6,1332.0,0.048,0.012,79,376,0.02
T99792,1,161.5,1345.0,0.021,0.012,54,418,0.019
T97528,1,165.6,1397.0,0.039,0.012,73,375,0.02
T93747,2,156.7,1321.0,0.037,0.012,68,273,0.014
T93731,1,164.9,1354.0,0.062,0.012,83,403,0.023
T92585,2,156.9,1376.0,0.024,0.012,63,363,0.017
T94304,2,164.7,1360.0,0.023,0.012,67,333,0.015
T92495,2,158.3,1404.0,0.042,0.012,85,295,0.022
T97949,1,163.9,1366.0,0.04,0.012,86,397,0.02
T95297,1,168.3,1362.0,0.028,0.012,47,459,0.019
T94627,2,155.4,1374.0,0.033,0.012,52,312,0.014
T97873,2,164.7,1377.0,0.069,0.012,86,328,0.02
T94890,2,167.9,1370.0,0.046,0.012,83,346,0.022
T92707,2,167.8,1368.0,0.024,0.012,79,266,0.014
T94385,1,178.4,1321.0,0.022,0.012,68,321,0.013
T97439,2,159.8,1342.0,0.022,0.012,69,351,0.016
T95426,1,165.0,1384.0,0.039,0.012,52,417,0.019
T99901,1,177.2,1395.0,0.063,0.012,64,311,0.015
T96864,1,155.4,1402.0,0.062,0.012,80,344,0.023
T92484,1,148.9,,0.038,0.012,68,287,0.019
T98526,2,168.7,1349.0,0.059,0.012,81,364,0.022
T94099,1,172.3,1407.0,0.058,0.012,82,313,0.022
T99996,2,150.2,1360.0,0.044,0.012,81,366,0.02
T98892,1,162.8,1385.0,0.04,0.012,75,285,0.018
T98734,2,157.9,1454.0,0.029,0.012,66,241,0.015
T95282,2,167.2,1396.0,0.034,0.012,72,281,0.017
T96618,2,164.8,1365.0,0.037,0.012,58,397,0.016
T94943,2,174.2,1366.0,0.061,0.012,50,311,0.015
T94304,2,155.6,1383.0,0.048,0.012,72,314,0.018
T91197,1,167.7,1322.0,0.03,0.012,62,335,0.017
T92016,2,169.4,1381.0,0.025,0.012,61,323,0.013
T99800,1,165.4,1363.0,0.045,0.012,68,345,0.018
T97374,2,151.0,1368.0,0.053,0.012,80,327,0.024
T92998,1,167.9,1373.0,0.061,0.012,84,479,0.025
T96675,1,159.9,1409.0,0.06,0.012,58,387,0.02
T96675,1,152.8,1376.0,0.061,0.012,93,366,0.025
T96618,2,167.6,1376.0,0.042,0.012,74,360,0.021
T94152,1,170.4,1388.0,0.063,0.012,76,341,0.02
T99958,2,160.7,1372.0,0.042,0.012,58,304,0.014
T97528,2,170.8,1387.0,0.028,0.012,69,355,0.016
T91878,1,170.9,1367.0,0.04,0.012,68,256,0.016
T96311,1,164.9,1399.0,0.037,0.012,48,261,0.01
T92021,2,169.2,1402.0,0.04,0.012,69,303,0.019
T92930,2,171.8,1387.0,0.053,0.012,79,339,0.021
T96056,2,168.7,1313.0,0.053,0.012,63,283,0.015
T95426,2,149.0,1374.0,0.031,0.012,60,345,0.018
T94073,2,147.4,1322.0,0.036,0.012,82,250,0.018
T95297,2,172.5,1380.0,0.05,0.012,72,306,0.014
T97938,1,160.2,1410.0,0.024,0.012,69,241,0.013
T96734,2,161.5,1399.0,0.054,0.012,72,329,0.017
T94840,2,178.2,,0.029,0.012,76,404,0.02
T97546,1,159.9,1366.0,0.063,0.012,80,323,0.02
T97265,1,164.0,1324.0,0.04,0.012,82,374,0.023
T95488,1,165.1,1370.0,0.031,0.012,75,371,0.018
T98858,2,163.5,1365.0,0.053,0.012,85,308,0.025
T99392,1,174.4,1339.0,0.048,0.012,48,352,0.014
T91775,1,162.4,1345.0,0.029,0.012,83,256,0.018
T93731,2,170.0,1340.0,0.061,0.012,67,310,0.018
T94843,2,165.5,1424.0,0.043,0.012,56,321,0.015
T96855,2,171.8,1373.0,0.028,0.012,82,274,0.019
T98555,2,155.4,1389.0,0.06,0.012,70,325,0.02
T99901,1,149.2,1393.0,0.027,0.012,81,285,0.018
T97949,2,165.2,1410.0,0.068,0.012,67,367,0.02
T98035,1,159.1,1410.0,0.042,0.012,74,258,0.018
T98574,2,175.3,1394.0,0.056,0.012,68,281,0.015
T91502,1,164.4,1332.0,0.043,0.012,70,320,0.014
T92291,2,166.5,1394.0,0.029,0.012,63,269,0.014
T95413,2,162.8,1360.0,0.058,0.012,55,405,0.019
T96575,2,160.4,1338.0,0.034,0.012,57,206,0.009
T99755,1,165.4,1361.0,0.054,0.012,72,282,0.016
T92016,1,172.1,1374.0,0.033,0.012,63,331,0.014
T95555,1,162.8,1306.0,0.032,0.012,76,405,0.018
T94099,2,162.3,1380.0,0.043,0.012,68,239,0.015
T96675,1,170.6,1398.0,0.061,0.012,64,269,0.017
T99004,2,153.2,1372.0,0.051,0.012,91,290,0.02
T94561,2,173.3,1343.0,0.023,0.012,62,396,0.017
T91863,2,159.4,1385.0,0.057,0.012,72,357,0.02
T98629,1,171.6,1369.0,0.049,0.012,90,279,0.019
T93558,2,167.1,1414.0,0.051,0.012,81,377,0.023
T92678,1,150.4,1313.0,0.038,0.012,73,335,0.023
T92663,2,165.1,1306.0,0.048,0.012,61,326,0.014
T92306,2,174.2,1368.0,0.039,0.012,45,340,0.013
T95636,2,162.9,1358.0,0.024,0.012,40,273,0.009
T96675,1,163.5,1377.0,0.062,0.012,65,337,0.018
T97019,1,159.6,1380.0,0.054,0.012,90,305,0.021
T98270,2,173.4,1408.0,0.054,0.012,60,457,0.021
T92528,1,161.8,1364.0,0.03,0.012,57,402,0.017
T98215,1,177.5,1381.0,0.053,0.012,67,310,0.014
T97892,2,173.1,1337.0,0.032,0.012,71,341,0.017
T93790,2,174.3,1432.0,0.054,0.012,73,269,0.017
T99226,1,165.6,1398.0,0.037,0.012,83,337,0.022
T96892,2,161.6,1392.0,0.028,0.012,59,262,0.012
T91863,2,168.3,1350.0,0.065,0.012,85,294,0.021
T95636,1,175.9,1404.0,0.025,0.012,77,349,0.016
T96051,1,177.4,1395.0,0.058,0.012,62,265,0.017
T97287,2,152.0,1386.0,0.025,0.012,59,270,0.013
T93511,1,183.9,1367.0,0.054,0.012,54,277,0.015
T95282,1,166.8,,0.026,0.012,83,314,0.018
T99529,2,170.5,1369.0,0.045,0.012,66,389,0.018
T99666,2,158.7,1350.0,0.029,0.012,66,378,0.018
T97278,2,158.3,1380.0,0.063,0.012,72,297,0.02
T98098,2,154.9,1342.0,0.04,0.012,56,387,0.019
T98208,1,176.9,1352.0,0.021,0.012,88,317,0.021
T94763,1,160.2,1318.0,0.051,0.012,73,328,0.018
T99901,2,164.4,1383.0,0.042,0.012,73,316,0.017
T95218,2,162.9,1381.0,0.063,0.012,68,354,0.015
T96618,2,157.9,1357.0,0.042,0.012,53,276,0.011
T98777,2,163.6,1309.0,0.041,0.012,82,296,0.019
T94005,1,165.6,1328.0,0.043,0.012,97,375,0.027
T99529,1,173.7,1373.0,0.063,0.012,59,298,0.013
T91775,2,157.6,1395.0,0.049,0.012,58,286,0.016
T99392,2,160.9,1345.0,0.053,0.012,59,244,0.013
T99800,1,168.9,1400.0,0.056,0.012,61,346,0.018
T92986,1,165.3,1412.0,0.067,0.012,87,265,0.02
T99901,1,165.4,1381.0,0.062,0.012,57,400,0.019
T95931,1,158.2,1396.0,0.066,0.012,98,347,0.024
T96258,2,170.4,1342.0,0.037,0.012,92,253,0.016
T99792,1,174.9,,0.031,0.012,79,329,0.019
T99154,1,174.2,1417.0,0.03,0.012,77,286,0.018
T92267,1,163.6,1345.0,0.063,0.012,80,353,0.022
T96056,2,146.9,1399.0,0.062,0.012,63,305,0.02
T93558,2,166.6,1380.0,0.053,0.012,56,433,0.017
T99322,1,165.7,1414.0,0.023,0.012,71,431,0.02
T99529,1,157.9,1389.0,0.036,0.012,53,293,0.012
T99154,2,159.2,1341.0,0.057,0.012,61,312,0.02
T92528,2,158.0,1361.0,0.032,0.012,79,359,0.018
T99958,1,166.9,1388.0,0.051,0.012,75,291,0.018
T96592,2,159.2,1356.0,0.047,0.012,87,291,0.019
T95413,1,166.2,1396.0,0.033,0.012,66,243,0.012
T91197,2,181.6,1372.0,0.067,0.012,91,250,0.022
T98215,1,163.7,1397.0,0.033,0.012,62,362,0.014
T98270,1,156.9,1398.0,0.065,0.012,81,325,0.02
T99529,2,154.8,1378.0,0.047,0.012,72,286,0.017
T96191,1,167.3,,0.025,0.012,83,356,0.019
T96051,2,179.0,1357.0,0.062,0.012,61,219,0.014
T98849,2,158.7,1341.0,0.06,0.012,80,307,0.02
T99006,2,149.9,1413.0,0.062,0.012,75,321,0.019
T91860,1,177.0,1372.0,0.052,0.012,59,260,0.015
T94242,1,182.6,1364.0,0.056,0.012,97,350,0.024
T98554,1,170.3,1364.0,0.065,0.012,68,366,0.02
T93695,2,168.0,1369.0,0.026,0.012,80,326,0.016
T92495,1,165.5,1358.0,0.024,0.012,77,289,0.015
T92306,1,169.8,1356.0,0.026,0.012,55,278,0.011
T91202,1,169.4,1336.0,0.064,0.012,82,319,0.023
T94696,1,167.0,1371.0,0.048,0.012,55,283,0.015
T98574,2,158.3,1403.0,0.029,0.012,65,326,0.012
T92267,1,166.9,1352.0,0.027,0.012,74,373,0.019
T98280,2,164.3,1384.0,0.042,0.012,70,355,0.021
T97287,2,159.4,1384.0,0.061,0.012,77,306,0.021
T95218,2,166.9,1380.0,0.06,0.012,42,342,0.012
T96249,2,161.6,1417.0,0.063,0.012,53,321,0.015
T96056,1,165.5,1385.0,0.058,0.012,78,336,0.021
T91769,1,168.2,1372.0,0.023,0.012,68,330,0.014
T97863,1,169.2,1378.0,0.056,0.012,74,430,0.022
T97439,2,161.8,1391.0,0.046,0.012,75,339,0.021
T98280,1,168.2,1413.0,0.056,0.012,58,381,0.018
T96855,2,169.8,1364.0,0.044,0.012,54,258,0.011
T99571,1,171.8,1374.0,0.044,0.012,79,361,0.022
T98041,1,167.1,1447.0,0.026,0.012,62,304,0.012
T97235,1,169.2,1369.0,0.065,0.012,73,342,0.02
T94005,2,162.1,1368.0,0.039,0.012,69,326,0.015
T97776,1,183.0,1349.0,0.049,0.012,57,200,0.009
T91769,2,164.6,1372.0,0.03,0.012,64,415,0.017
T94104,2,172.8,1368.0,0.038,0.012,82,250,0.018
T98099,2,161.6,1380.0,0.064,0.012,73,262,0.018
T92059,1,167.6,1377.0,0.03,0.012,66,301,0.015
T94556,1,167.4,1321.0,0.03,0.012,75,280,0.018
T93568,2,168.7,1337.0,0.033,0.012,87,282,0.019
T94561,2,159.1,1366.0,0.049,0.012,70,329,0.02
T95426,2,167.7,1359.0,0.046,0.012,96,336,0.025
T97278,2,161.6,1344.0,0.029,0.012,74,305,0.016
T94763,2,170.7,1324.0,0.055,0.012,67,310,0.016
T94561,1,158.9,1411.0,0.065,0.012,75,304,0.017
T92636,1,167.1,1410.0,0.03,0.012,98,309,0.021
T92484,1,164.8,1389.0,0.054,0.012,87,362,0.025
T98385,2,178.0,1355.0,0.049,0.012,53,413,0.017
T94627,2,172.8,1407.0,0.036,0.012,52,351,0.014
T97546,1,174.6,1352.0,0.051,0.012,67,444,0.022
T96675,1,159.6,1381.0,0.03,0.012,97,200,0.021
T98035,2,162.3,1350.0,0.062,0.012,72,299,0.019
T99684,2,165.0,1371.0,0.021,0.012,62,275,0.014
T97585,2,173.0,1382.0,0.048,0.012,95,397,0.025
T99755,1,167.6,1333.0,0.036,0.012,82,358,0.021
T91698,2,159.8,1359.0,0.064,0.012,66,326,0.02
T97396,2,160.1,1376.0,0.045,0.012,63,368,0.017
T91698,2,173.3,1339.0,0.06,0.012,82,399,0.023
T96592,1,167.9,1346.0,0.066,0.012,59,275,0.014
T96056,2,165.4,1376.0,0.037,0.012,64,276,0.015
T92495,1,164.8,1357.0,0.064,0.012,72,307,0.019
T93511,2,171.3,1339.0,0.056,0.012,64,334,0.018
T94510,2,157.6,1371.0,0.025,0.012,59,353,0.012
T93731,1,165.4,1381.0,0.025,0.012,74,324,0.015
T94890,2,165.8,1426.0,0.061,0.012,72,330,0.02
T98215,1,156.3,1372.0,0.043,0.012,73,359,0.018
T92495,2,163.5,1370.0,0.045,0.012,46,350,0.012
T98994,1,181.0,1363.0,0.065,0.012,83,313,0.019
T99800,2,159.2,1399.0,0.065,0.012,47,362,0.016
T99838,1,165.9,1378.0,0.026,0.012,73,301,0.015
T91769,1,150.5,1391.0,0.039,0.012,97,317,0.022
T98721,2,164.0,1376.0,0.065,0.012,81,429,0.023
T99004,1,157.5,1393.0,0.061,0.012,66,265,0.018
T97949,2,162.5,1379.0,0.056,0.012,64,337,0.017
T93558,1,168.0,1335.0,0.025,0.012,68,326,0.015
T93731,2,157.1,1363.0,0.051,0.012,84,378,0.021
T98385,2,166.7,1364.0,0.049,0.012,77,442,0.023
T95658,2,159.5,1381.0,0.028,0.012,70,383,0.021
T97420,2,155.7,1374.0,0.059,0.012,82,334,0.023
T98721,1,171.9,1403.0,0.036,0.012,54,345,0.015
T98629,2,158.3,1380.0,0.051,0.012,63,288,0.017
T93695,2,162.0,1382.0,0.038,0.012,64,345,0.016
T96977,2,161.0,,0.024,0.012,83,380,0.02
T96618,2,166.5,1374.0,0.046,0.012,73,402,0.018
T97776,2,165.2,1365.0,0.035,0.012,99,298,0.023
T98125,1,163.8,1318.0,0.024,0.012,80,355,0.019
T95555,2,160.0,1337.0,0.03,0.012,61,261,0.012
T94510,1,163.1,1388.0,0.051,0.012,81,307,0.02
T99154,1,167.1,1386.0,0.025,0.012,61,306,0.017
T92306,2,165.8,1355.0,0.024,0.012,65,397,0.017
T97287,2,172.9,1356.0,0.067,0.012,69,200,0.015
T95413,1,170.3,1342.0,0.025,0.012,73,410,0.022
T98208,1,172.7,1395.0,0.039,0.012,72,251,0.017
T96578,1,174.5,1350.0,0.027,0.012,72,311,0.017
T93911,2,166.3,1356.0,0.067,0.012,58,417,0.022
T93734,1,171.0,1395.0,0.044,0.012,69,201,0.012
T94242,1,167.3,1395.0,0.026,0.012,73,258,0.018
T98555,2,174.3,1366.0,0.058,0.012,80,367,0.023
T93027,1,152.7,1370.0,0.059,0.012,64,232,0.017
T96134,2,162.8,1382.0,0.065,0.012,40,437,0.017
T99901,1,167.9,1360.0,0.055,0.012,83,310,0.019
T91863,2,169.0,1368.0,0.023,0.012,76,332,0.014
T99529,1,164.9,1365.0,0.048,0.012,54,333,0.015
T93731,2,153.4,1387.0,0.039,0.012,52,301,0.012
T92306,2,163.8,1405.0,0.057,0.012,77,384,0.02
T93047,1,170.7,1399.0,0.05,0.012,66,255,0.014
T99958,2,162.8,1395.0,0.056,0.012,52,295,0.01
T92757,1,165.6,1343.0,0.029,0.012,57,320,0.012
T94073,2,178.4,1402.0,0.042,0.012,68,294,0.013
T98994,2,163.7,1353.0,0.042,0.012,60,228,0.011
T99901,2,163.9,1325.0,0.069,0.012,64,341,0.017
T97873,2,166.4,1349.0,0.021,0.012,70,302,0.015
T99792,2,166.7,1368.0,0.061,0.012,82,291,0.021
T95488,2,165.9,1319.0,0.025,0.012,76,432,0.024
T95389,2,167.8,1388.0,0.024,0.012,72,350,0.015
T93612,1,156.7,1391.0,0.036,0.012,86,279,0.021
T91197,1,164.2,1360.0,0.055,0.012,58,306,0.015
T99164,2,156.4,1341.0,0.054,0.012,69,275,0.013
T96864,2,165.4,1393.0,0.051,0.012,62,276,0.013
T97019,2,169.2,1347.0,0.059,0.012,68,272,0.018
T96915,1,164.0,1329.0,0.032,0.012,69,324,0.017
T94696,2,158.4,1368.0,0.052,0.012,62,272,0.012
T99684,1,162.0,1371.0,0.052,0.012,65,255,0.016
T96530,2,177.6,1378.0,0.053,0.012,78,225,0.014
T98208,2,175.1,1389.0,0.05,0.012,68,332,0.016
T96578,2,161.2,1392.0,0.031,0.012,40,340,0.011
T99571,2,161.2,1338.0,0.066,0.012,78,299,0.02
T91197,2,164.2,1319.0,0.069,0.012,76,347,0.022
T96575,1,173.7,1381.0,0.054,0.012,54,215,0.012
T91466,2,152.7,1371.0,0.042,0.012,88,230,0.02
T96791,1,161.1,1359.0,0.047,0.012,67,316,0.018
T97776,1,167.9,1366.0,0.025,0.012,82,350,0.02
T96855,2,167.1,1349.0,0.038,0.012,70,291,0.015
T97528,2,162.0,1413.0,0.069,0.012,64,352,0.018
T92663,2,163.2,1320.0,0.047,0.012,74,344,0.021
T91202,1,167.3,1381.0,0.048,0.012,63,404,0.018
T91189,1,162.1,1338.0,0.068,0.012,68,278,0.02
T97019,1,157.6,1353.0,0.064,0.012,51,301,0.016
T93811,2,163.7,1359.0,0.048,0.012,66,329,0.019
T96734,1,166.3,1345.0,0.033,0.012,55,343,0.013
T94005,1,150.1,1364.0,0.026,0.012,69,219,0.015
T95737,1,167.7,1304.0,0.063,0.012,76,318,0.023
T91854,2,171.8,1332.0,0.066,0.012,70,330,0.021
T93027,1,162.5,1324.0,0.045,0.012,81,291,0.022
T96450,1,162.6,1339.0,0.025,0.012,93,419,0.025
T95488,2,159.8,1350.0,0.05,0.012,68,320,0.02
T97439,2,163.9,1370.0,0.038,0.012,70,279,0.017
T96618,2,161.1,1354.0,0.028,0.012,62,383,0.014
T96575,1,175.1,1348.0,0.066,0.012,47,308,0.015
T95887,1,165.9,1357.0,0.032,0.012,71,323,0.016
T96486,1,150.0,1353.0,0.056,0.012,78,318,0.018
T94157,2,169.0,1361.0,0.041,0.012,70,384,0.018
T94890,1,177.0,1362.0,0.061,0.012,60,293,0.016
T91878,2,168.6,1351.0,0.055,0.012,58,281,0.014
T94581,2,173.3,1331.0,0.026,0.012,54,261,0.013
T95555,1,169.7,1369.0,0.042,0.012,68,311,0.015
T97287,1,171.9,1391.0,0.033,0.012,57,324,0.014
T97938,1,171.6,1343.0,0.056,0.012,83,307,0.02
T93327,2,171.7,1367.0,0.047,0.012,79,297,0.018
T99164,2,167.2,1359.0,0.037,0.012,82,283,0.019
T97184,1,153.0,1385.0,0.036,0.012,85,395,0.024
T94561,2,157.4,1348.0,0.026,0.012,65,266,0.014
T95555,1,157.5,1365.0,0.031,0.012,80,221,0.017
T99792,1,147.3,1367.0,0.056,0.012,66,318,0.019
T97892,1,162.0,1376.0,0.05,0.012,67,411,0.023
T98098,2,174.9,1342.0,0.038,0.012,67,352,0.014
T92707,2,154.9,1378.0,0.062,0.012,60,344,0.012
T97776,1,170.1,1357.0,0.044,0.012,68,365,0.019
T97892,1,168.7,1383.0,0.06,0.012,68,288,0.015
T96675,2,166.6,,0.059,0.012,78,279,0.019
T94748,1,173.3,1401.0,0.062,0.012,67,319,0.018
T92734,2,164.7,1330.0,0.062,0.012,63,366,0.016
T91995,1,175.7,1384.0,0.054,0.012,78,288,0.019
T92678,2,163.6,1378.0,0.057,0.012,59,280,0.016
T98385,1,167.4,1382.0,0.059,0.012,68,309,0.017
T99164,2,164.0,1396.0,0.028,0.012,77,369,0.021
